Net,Temperature
35147.648,0.8
36751.771,0.4
35387.448,-0.4
33038.265,-1.2
31784.549,-1.5
31186.937000000005,-1.2
30827.705,-1.5
31095.434,-0.3
31261.362000000005,1.1
32017.106,2.1
34244.775,2.8
36967.547,3.4
37745.131,3.2
37447.80299999999,3.3
36985.396,3.0
36103.005,2.2
34652.452,1.5
33192.187,1.2
32099.809,0.4
31564.209,-0.4
31300.916,-1.1
31413.192000000003,-1.9
31869.394,-3.1
32934.869,-4.4
34404.733,-5.3
35454.864,-6.0
35279.813,-6.6
33629.541000000005,-7.0
32036.283,-7.5
31011.403,-7.9
30183.026,-7.8
29718.866,-5.7
30224.616,-3.6
31235.137,-2.4
32929.672999999995,-1.0
35241.074,-0.2
35858.887,-0.5
35534.652,-0.7
35046.821,-0.5
34325.64,-1.0
33093.549,-1.5
31909.48,-1.6
30905.852000000003,-2.0
30418.54,-2.6
30213.439,-3.0
30205.314,-2.7
30504.722,-2.7
31027.548,-2.5
31873.569,-2.4
32421.585,-2.6
31768.989,-4.0
30077.82,-4.3
29279.050000000003,-4.0
29077.084,-4.2
29537.31,-4.8
29235.046,-0.6
29406.272,3.3
30460.075,4.0
31998.037,5.2
34211.029,6.4
34872.953,6.8
34571.098,6.9
33967.725999999995,6.5
32835.81,5.8
31076.227,5.5
29584.667,5.4
28572.713,5.4
28245.474,5.7
28312.122000000003,5.6
28946.009,5.0
30185.102,4.5
32748.882,4.2
36521.880000000005,3.8
38452.734,3.0
37992.436,1.9
36586.217,0.2
35583.66,-1.3
34692.276,-2.3
33690.895,-2.8
32811.141,-3.1
32628.875,-2.9
33364.113999999994,-2.5
35444.16,-2.0
38413.414,-1.3
39746.314,-0.7
39582.656,-0.8
38991.79,-0.9
37582.736,-1.2
35449.799,-1.7
33610.219,-2.3
32369.54,-2.7
31763.455,-3.1
31478.072000000004,-3.7
31669.946000000004,-4.1
32360.805,-4.3
34390.952999999994,-4.1
37325.225,-4.1
38796.307,-4.5
38358.295,-5.7
37758.556,-6.3
37373.244,-6.2
36971.789,-6.1
36654.14,-5.4
36592.143,-3.4
36756.132000000005,-1.2
37010.572,0.3
38024.09,0.9
39570.611,1.1
39771.972,1.3
39213.355,1.5
38252.16,1.6
36783.974,1.8
34736.925,2.0
33157.07,2.4
32378.585000000003,2.6
32243.04,2.6
32435.515,3.3
32999.914,4.4
34255.014,5.0
36578.938,5.2
39912.342,4.5
41686.24600000001,3.5
40244.287,2.5
37451.066,1.1
35739.329,0.5
34687.737,-0.1
34321.472,-0.3
35992.265,-0.9
37999.71799999999,-1.2
39370.806,-1.7
41593.151000000005,-1.4
45196.409,-0.6
47196.327000000005,-0.2
47299.298,-0.3
47018.323,-0.8
45847.006,-1.4
43828.689,-0.8
42127.50400000001,-2.2
41174.614,-5.6
40806.651000000005,-7.2
40768.957,-10.8
40971.587,-13.0
41932.244,-13.7
43836.850000000006,-14.6
46703.2,-15.1
48042.73299999999,-15.4
46436.755000000005,-15.6
43718.101,-16.0
41709.122,-16.4
40363.059,-16.7
39261.346,-16.5
38593.291000000005,-15.4
38521.331000000006,-14.2
39698.314,-13.0
42266.674,-11.7
45422.344000000005,-10.6
46769.826,-9.8
46714.063,-9.3
46256.942,-9.2
44860.467,-9.7
42752.848,-10.3
40985.065,-10.8
39879.6,-11.3
39398.514,-12.3
39120.482,-13.2
39002.196,-12.4
39512.738,-12.3
41209.957,-12.8
43946.277,-13.6
45195.914,-14.0
44811.945,-14.5
44361.076,-14.4
43931.36,-14.3
43083.868,-14.4
42346.401,-13.9
42057.630000000005,-12.3
41860.556,-10.6
42036.98,-9.0
42839.9,-7.9
44429.691,-7.3
44795.06,-6.4
