Net,Temperature
12776.602,3.3
12586.807,4.0
12249.491000000002,4.3
11654.059,4.9
10815.573,5.4
10059.264,6.1
9499.819,7.8
9214.84,5.3
9288.852,5.5
9125.855,5.7
9296.072,6.5
9576.298,7.9
10683.011,8.8
11381.956000000002,7.2
11254.87,7.2
10989.811000000002,9.6
10941.057,12.4
10884.369,13.7
10742.263,13.9
9894.37,14.0
8946.463000000002,12.2
8604.483999999999,11.1
10205.191000000004,10.5
11752.883,9.4
12508.385,10.6
12612.842,9.3
12539.758000000002,8.7
12247.066,6.5
11855.385,4.1
11383.87,2.6
11268.563999999998,1.8
11355.713000000002,0.9
11517.738,0.2
11854.348999999998,0.3
12455.42,-0.1
13378.796,-0.7
14739.167,-1.0
15154.338000000002,-0.8
13250.491000000002,-0.9
11160.218,-1.2
10398.641,-1.3
10144.497,-1.3
9842.584,-1.2
9403.167,-0.8
9099.563999999998,0.3
9286.42,1.4
11020.794,2.7
13061.477,3.4
13842.176,3.5
13951.732,3.5
13996.137,3.4
13928.773,2.8
13650.702,1.1
13375.049,0.5
13210.312,-0.4
13294.32,-1.2
13476.252,-1.2
13718.721,-0.9
14154.03,-0.6
14637.247,-0.6
15279.761,-0.9
15688.996,-1.0
14054.92,-1.2
12057.933,-1.9
11051.744,-1.5
10428.249,-2.2
9830.532,-1.9
9190.342,-1.2
8828.081,-0.8
8940.025,-0.4
10688.435,0.1
12662.928,2.1
13339.612,3.5
13525.963,4.1
13577.559,4.5
13506.599,4.4
13274.017,3.4
13036.043,2.2
12976.111,0.7
12987.12,0.6
13128.602,0.3
13258.366,0.8
13501.244,0.6
13835.015,0.7
14382.906,0.8
14655.948,0.3
13447.377,-0.2
11811.566000000004,0.6
10813.037,1.8
10229.667,1.8
10076.914,0.5
9737.868000000002,1.0
10131.039,2.4
11094.29,2.2
11754.183,5.1
12635.353,5.6
12951.199,6.6
12924.174,7.2
12701.258,7.2
12297.53,7.1
11625.93,6.4
11143.334,5.4
10815.106000000002,4.8
10690.166,4.6
10784.127,4.0
11138.239,3.6
11663.933,3.0
12690.442,2.6
13977.987,2.5
14537.771,2.1
14288.11,1.5
13579.933,-0.8
13034.217,-1.6
12332.814,-2.0
11847.012,-2.4
11277.89,-2.5
10845.041,-1.7
10470.073,-1.4
11809.116000000002,0.2
13714.643999999998,1.4
14516.479,2.8
14747.753,3.6
14720.895,4.2
14346.77,3.7
13747.802,2.2
13219.659,1.7
12939.361,0.9
12886.268,0.5
12899.126000000002,0.1
12939.978999999998,-0.2
13259.587,-1.1
14092.702,-1.6
15130.668,-2.4
15303.08,-2.3
14252.022,-2.8
13335.239,-2.6
12578.487,-2.5
12004.276,-2.7
11493.197,-2.5
11124.101000000002,-2.5
11640.041,-1.1
12784.219,0.9
13357.824,1.8
14153.365,2.5
14381.382,3.1
14217.673,1.5
13951.222,1.9
13624.005,1.6
13244.737,1.9
12903.93,1.2
12719.102,0.2
12910.581,-1.3
13183.243,-2.4
13586.053,-3.3
14315.781,-4.4
15411.204,-5.2
16682.670000000002,-5.6
17090.069,-5.6
15172.745,-5.8
12935.178,-5.7
12008.252,-6.0
11525.366999999998,-6.4
11116.578,-6.6
11144.782,-6.2
11063.646,-4.8
11236.206000000002,-2.5
13252.613,-1.1
15626.168,0.0
16764.061999999998,1.0
17132.95,-0.3
17259.111999999997,-2.1
17051.876000000004,-3.7
16599.046000000002,-6.1
16340.6,-7.8
16282.203,-8.7
16483.779,-9.7
16730.357,-10.4
17148.895,-11.1
17698.759,-11.8
18519.292,-12.1
19565.235,-11.9
19746.761,-12.0
17421.685,-12.1
15165.03,-12.1
14007.377,-12.4
13247.104,-12.5
12666.174,-12.1
12064.959,-11.4
11717.18,-10.5
12150.955000000002,-9.2
13716.897,-8.2
15991.139,-6.9
16897.594,-6.0
17101.995,-4.8
17063.521999999997,-3.7
16787.587,-3.1
16219.784,-3.4
15802.485,-3.4
15574.083,-3.2
15476.404,-3.2
15320.803999999998,-3.3
15355.751,-3.4
15729.176,-3.6
16504.398,-5.0
17446.53,-7.0
17675.369,-8.9
16704.803,-9.4
15930.65,-9.8
14245.448,-9.5
13299.831000000002,-9.4
12998.245,-9.2
12688.817,-8.6
13279.937,-8.0
13607.575,-7.2
14590.793,-6.4
15686.556,-5.3
15862.093,-4.8
15700.475,-4.3
15425.585,-4.1
15124.607,-4.0
14618.287,-4.2
14284.273,-4.3
14074.101,-4.4
14095.226,-4.4
14193.001,-4.8
14508.514,-5.3
14901.497,-5.3
15486.652,-5.6
16191.518,-5.6
16617.978000000003,-5.4
15087.14,-5.4
13066.529,-6.1
11704.397,-6.2
10904.898999999998,-6.4
10086.404,-6.1
9311.938000000002,-5.1
8799.713,-3.6
8833.305,-1.4
10382.119,0.4
12368.129,2.2
13271.679,4.3
13444.093,6.0
13530.356,6.9
13408.959,7.2
13168.603999999998,6.1
12780.172,6.3
12533.078,5.8
12459.606,6.5
12453.3,6.7
12610.434,7.2
12802.268,7.4
13187.826,9.1
13631.079,10.9
13899.158,11.6
12970.467,10.4
11399.967,11.0
10580.502,11.5
9704.964,11.4
9191.212,10.6
9302.487,9.5
9595.497,10.6
10007.483,12.2
10623.04,14.3
11535.188999999998,14.5
11845.636,14.8
11588.637,15.4
11462.641,15.2
11281.444,14.2
10959.082,12.5
10527.821999999998,12.2
10284.074,11.2
10185.479,10.7
10336.164,10.9
10591.445,10.7
11163.303,10.1
12083.073,10.2
13379.576,9.7
13897.139,7.8
12567.994,7.5
10710.184,7.9
9596.151999999998,8.5
9054.391,6.9
9018.256,7.8
8951.896999999999,5.6
8924.873,7.5
8762.236,10.5
9583.559,12.0
11101.78,13.7
11849.021,15.4
11934.904,16.3
11763.654,16.9
11370.852,16.1
10750.612,14.7
10238.295,13.8
9990.914,13.3
9961.786999999998,12.9
10036.278000000002,12.8
10230.085,12.4
10534.063,12.6
11460.096,12.7
12638.03,13.1
12797.382,13.1
10800.292,13.1
9116.92,13.3
8378.043000000001,13.5
8077.727,12.9
7834.275,13.0
7649.019,13.6
7595.771000000001,14.9
7662.603999999999,16.6
8988.615,18.5
10527.613,19.8
11117.945,20.9
11084.531,21.4
10868.893,21.4
10226.978,20.9
9590.423,20.1
9045.993,18.5
8637.21,17.9
8480.164999999999,17.0
8505.501,17.1
8599.618,16.5
8919.3,15.8
9758.647,15.0
11113.485,14.1
11325.579,13.0
9529.148,12.4
8073.444000000001,11.3
7774.012000000001,11.1
7743.91,11.0
7735.371999999999,11.0
7901.945,11.1
8316.476999999999,12.1
8713.111,12.9
9849.889,13.5
10822.491999999998,14.0
11309.322,15.0
11129.029,15.2
10881.026000000002,13.7
10386.482,13.1
9642.445,13.3
8986.697,12.9
8522.214,13.8
8314.391,16.4
8291.170999999998,16.9
8281.165,17.1
8513.445,17.2
9181.362,17.6
10248.78,17.3
10738.459,17.3
9766.2,16.7
9290.496,15.1
9327.651,11.8
9385.66,10.8
9264.235,10.0
8837.545999999998,9.7
8359.359,9.6
8530.391,9.7
9546.512,9.5
10955.944,9.4
11412.553,9.5
11316.521,9.8
11043.695,10.0
10511.172,10.1
9853.371,9.6
9170.633,9.5
8711.155,9.3
8549.585000000001,9.2
8412.259,9.2
8412.209,9.5
8614.439,9.1
9301.449,10.3
10401.751,10.3
10608.489,14.5
9366.167,15.9
8595.966999999999,13.2
8250.999,14.2
8037.344000000001,15.5
8098.145,16.0
8337.41,15.1
8763.786999999998,14.1
8690.619,13.5
9548.394,13.0
10720.976000000002,13.2
11387.178000000002,13.2
11382.325,12.2
11358.416,10.1
11176.177,8.9
10865.529,7.8
10521.001000000002,6.4
10296.634,5.3
10229.864,4.4
10388.957,3.6
10566.289,2.8
10897.825,2.1
11404.013,1.3
12080.746,0.6
12693.835,0.0
12494.403,-0.6
12172.357,-1.3
12039.428,-1.5
11316.639,-2.1
10031.425,-2.4
9560.658,-1.5
9649.238,-0.8
9625.784,-0.2
10930.246,0.3
12787.813000000002,1.1
13708.578999999998,1.8
13915.38,2.4
13961.148,2.7
13867.066,2.5
13579.959,0.5
13281.281,-0.8
13053.366,-1.6
13066.046,-2.3
13066.174,-2.6
13322.208,-3.0
13635.042,-3.4
14272.936000000002,-3.6
14931.101,-3.6
15002.531,-3.5
12923.525,-3.9
11048.365,-3.7
10322.523,-4.1
10503.155,-4.6
10431.808999999996,-4.3
10594.289,-2.8
11104.576,-1.9
11664.45,-1.2
12319.742,-0.4
13073.9,0.0
13615.734,1.0
13505.283999999998,1.5
13241.211,1.5
12838.088,1.6
12324.754,1.3
11798.12,1.0
11551.141,0.2
11413.491000000002,-0.8
11384.949,-1.6
11611.25,-1.6
11958.451,-1.7
12756.649,-1.7
13794.978,-1.6
14249.375,-1.4
14177.198,-1.2
13843.874,-1.1
13564.857,-0.9
13248.578,-0.9
13020.716,-0.8
12903.497,-0.8
12898.06,-0.6
13107.482,-0.4
13493.501,-0.2
14115.322,0.0
14363.203999999998,0.1
14137.255,0.1
13826.785,0.0
13259.744,0.1
12543.55,0.1
11924.088,0.0
11525.5,0.0
11435.027,0.0
11402.5,0.0
11514.119,0.0
11871.848,0.0
12683.86,0.0
13799.86,0.0
14226.715,-0.2
14023.13,-0.3
13620.493,-0.5
13214.562,-0.5
12659.525,-0.7
12232.007,-0.7
12121.296000000002,-0.6
12208.015,-0.5
11978.963,-0.2
12303.758999999998,0.0
13271.552,0.1
13544.781,0.2
13350.805,0.7
13013.414,0.8
12415.047,0.8
11678.271,1.0
10990.245,1.1
10589.971,1.1
10401.828,1.2
10338.348,1.3
10412.779,1.3
10813.863999999998,1.5
11736.722,2.4
13018.532,6.1
13366.837,4.4
11814.415,4.1
9799.164,3.8
9312.771,3.4
9250.311000000002,2.5
9003.019999999999,2.1
8807.68,2.1
8512.118999999999,3.0
8542.146999999999,4.1
9813.5,5.3
11766.75,6.3
12807.49,7.4
12960.191,8.4
12957.058999999996,8.2
12633.778000000002,7.2
12130.185,5.6
11645.274,4.9
11371.818,4.8
11335.011000000002,4.1
11398.026999999998,3.7
11605.841000000002,3.8
12097.634,4.0
13076.461,3.8
14464.783,3.6
14324.921000000002,3.3
11730.874,3.4
10066.039,3.4
9553.676,3.4
9077.565,3.5
8483.698,3.8
8222.792000000001,4.5
8192.359999999999,4.3
8895.848,5.8
10707.46,8.0
11827.065,9.3
12437.878,9.8
12353.542,9.9
12175.622,9.8
11724.033,9.4
10983.181,9.5
10451.366,8.9
9997.189,9.5
9780.3,8.8
9646.024,8.6
9596.275,8.7
9773.286999999998,8.4
10460.912,8.7
11520.707,8.2
11712.575,8.7
10697.598999999998,8.7
9501.152,8.6
8559.55,8.6
8174.586999999999,9.0
8068.848,9.0
7939.605,9.0
8171.729,10.2
8896.87,10.9
9737.292,13.3
10572.288,15.0
10931.882,14.5
10749.416,14.1
10511.373,15.2
10085.658,15.1
9608.036,14.5
9127.722,14.5
8763.406,14.4
8602.486,13.7
8533.052,12.8
8651.241,11.4
8864.872,10.7
9309.836,10.1
9925.266,9.4
10599.255,8.0
11304.759,7.5
11854.098,6.8
12122.896,5.5
12112.356000000002,3.7
12042.028000000002,2.8
11757.469,2.2
11475.555,1.5
11193.898999999998,2.0
11226.125,2.7
12157.082,3.1
12940.652,4.1
13043.745,5.9
12969.6,6.7
12795.981,6.2
12512.285,4.3
12153.522,3.5
11891.556,2.3
11823.0,2.1
11874.348999999998,1.5
11940.015,1.2
12219.422,0.7
12558.901000000002,-0.2
13054.179,-0.9
13234.816000000004,-1.1
12717.323,-1.7
11544.02,-1.6
11427.651999999998,-1.5
11452.695,-1.2
11895.154,-1.0
11954.01,-0.5
11581.99,-0.1
11790.294,0.2
12201.326,0.3
12870.104,-0.5
13186.207,0.4
13198.018,1.1
12973.633,1.5
12446.274,1.0
11877.727,0.2
11324.018,-0.1
11013.322,-0.1
10853.397,-0.1
10791.641999999998,0.0
10767.139,0.1
10993.525,0.1
11556.643,0.2
12291.472,0.3
12671.323,0.6
12336.412,0.9
11320.2,1.6
9957.971,4.9
8784.291000000001,6.7
8377.551000000001,6.2
8143.833999999999,6.9
8554.687,7.1
9242.785,6.6
10528.879,7.3
11813.008000000002,8.2
12723.71,8.3
12820.327,10.5
12657.803,9.4
12228.118,7.5
11645.046,4.9
11184.975,3.4
10895.971,2.9
10841.564,2.5
11004.434,2.3
11310.946000000002,1.6
11894.316,1.2
12959.195,1.0
14442.717,0.9
14537.449,0.8
12447.13,0.6
10767.438999999998,0.4
9956.518999999998,-0.1
10015.147,-0.6
10280.775,-0.7
10627.803,-0.7
11079.537,0.6
11370.938,2.1
12398.393,3.0
13313.1,4.2
13978.063999999998,4.6
13858.518999999998,5.0
13675.609,4.7
13153.498,3.7
12516.303999999998,2.9
11955.163,2.0
11561.784,1.6
11444.389,1.2
11410.962,0.9
11586.318,0.7
12081.566,0.7
12942.141,0.6
14006.285,0.4
14547.754,-0.7
14742.281,-2.1
14750.308,-2.2
14727.31,-2.4
14561.413,-2.7
14441.056,-2.8
14198.38,-2.5
14330.503,-2.2
14353.553000000002,-2.1
14467.79,-2.1
14930.191,-1.9
15030.255,-1.5
14699.264,-1.4
14249.413,-1.3
13677.117,-1.2
12906.905,-0.9
12238.803,-0.8
11886.186000000002,-0.8
11710.76,-0.9
11598.738,-0.9
11654.901000000002,-0.6
12017.282,-0.5
12720.478999999998,-0.5
13650.975,-0.4
13928.029,-0.5
13530.467,-0.3
12914.527,0.0
12512.119,1.8
11787.043,1.8
10940.924,8.7
10325.03,11.8
9386.174,12.3
9584.615,12.0
10035.503,12.8
11177.531,13.0
12050.233,14.5
12150.386000000002,16.5
12013.353,17.0
11607.038,16.0
10985.627,14.2
10367.881,11.8
9915.684,9.9
9750.585,9.5
9697.305,8.9
9792.351,9.0
10078.65,8.5
10819.723,9.6
12015.667,9.9
12531.533,8.9
12464.18,7.2
12161.862,6.9
11968.425,5.3
11561.498,5.2
11248.988,6.0
11056.194,6.8
11138.224,6.4
11535.056000000002,5.8
11973.918999999998,5.7
12439.961,6.2
12728.21,6.5
12622.687,6.9
12362.1,6.7
11991.944,6.4
11445.23,6.1
10965.036000000002,5.9
10577.36,5.6
10309.177,4.8
10340.327,4.3
10326.155,3.7
10482.589,3.7
10784.976,3.8
11279.928,3.9
11712.815,3.8
12173.108,3.6
12399.795,3.4
12445.668,2.9
12401.19,2.6
12308.919,2.4
12159.872,2.0
12238.212,1.7
12318.891,1.6
12511.259,1.7
12879.711,1.7
12991.223000000002,1.8
12872.431,1.8
12585.985,1.6
