Net,Temperature
64858.645,-9999.0
63608.109,-9999.0
62456.853,-9999.0
61418.397,-9999.0
60364.418,-9999.0
59678.033,-9999.0
60433.981,-9999.0
63072.096,-9999.0
65474.179,-9999.0
65602.41,-9999.0
65211.812,-9999.0
63827.78799999999,-9999.0
61712.479,-9999.0
59297.15,-9999.0
57981.283,-9999.0
57165.774000000005,-9999.0
56754.643,-9999.0
56502.118,-9999.0
57232.835,-9999.0
59080.35999999999,-9999.0
62300.589,-9999.0
64540.133,-9999.0
64914.343,-9999.0
63524.832,-9999.0
61877.913,-9999.0
60113.094,-9999.0
58610.527,-9999.0
57420.91599999999,-9999.0
56473.888,-9999.0
56044.13599999999,-9999.0
56473.467,-9999.0
58127.542,-9999.0
59560.802,-9999.0
58926.604,-9999.0
57793.381,-9999.0
55755.892,-9999.0
53063.196,-9999.0
50187.931,-9999.0
48158.765,-4.3
46887.121,-4.1
46096.433,-4.1
45766.769,-4.0
46262.77799999999,-3.5
48223.36400000001,-9999.0
51523.457,-9999.0
54207.311,-9999.0
54346.979,-9999.0
54025.579,-9999.0
53641.334,-9999.0
53138.931,-9999.0
52771.648,3.0
52382.77099999999,-9999.0
52013.189000000006,-9999.0
51706.207,-9999.0
51884.022,-9999.0
53312.585,-9999.0
54382.154,-9999.0
53932.041,-9999.0
53336.613,-9999.0
51799.091,-9999.0
49480.553,9.2
47195.28,9.4
45507.198,9.4
44650.268,-9999.0
44348.978,8.1
44483.358,7.8
45465.212,-9999.0
47860.282,9.3
51668.258,9.7
54711.441,10.1
55776.372,10.2
56042.851,-9999.0
56710.356,-9999.0
56957.361,6.1
56845.081,5.8
56801.414,5.7
56588.947,1.5
56257.869000000006,-9999.0
56803.1,-9999.0
58192.38,-9999.0
59746.853,-9999.0
59713.134,-9999.0
59172.189000000006,-9999.0
57833.72900000001,-6.1
55688.527,-6.3
53361.268,-6.6
51746.202,-6.8
51064.452,-6.9
50763.437000000005,-9999.0
51061.452,-7.4
52031.933,-7.4
54507.324,-7.7
58471.969000000005,-7.9
61526.679,-8.4
61882.75,-8.2
61271.194,-9999.0
60414.369000000006,-9999.0
59249.061,-9999.0
58268.054,-9999.0
57440.475,-9999.0
56602.857,-9999.0
56157.382000000005,-9999.0
56664.759000000005,-9999.0
58562.663,-9999.0
60832.367,-9999.0
60589.46599999999,-9999.0
60103.156,-9999.0
58974.74,-9999.0
57233.73299999999,-9999.0
55056.886,-9.6
53471.632000000005,-9.8
52486.641,-10.3
51940.204000000005,-10.4
51647.647,-10.6
51831.703,-10.5
52639.74,-10.3
54132.808,-10.3
55716.757,-10.3
56725.582,-10.2
57045.041,-10.2
56490.499,-10.2
55500.082,-10.4
54209.722,-10.2
52914.306,-9999.0
52224.695,-9999.0
